host_time_s,host_monotonic_s,source,device,event,value
1778594583.984584,193890.065868,serial,water,RX,"276651,WATER_END,0"
1778594584.045748,193890.126676,host,water,TX,STATUS
1778594584.061183,193890.142138,serial,water,RX,"276715,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594586.589159,193892.670172,host,protocol,TRIAL_TIMEOUT,4
1778594586.590161,193892.670548,host,protocol,TRIAL_END,MISSED
1778594586.590161,193892.670810,host,protocol,ITI,9.2s
1778594587.046242,193893.126902,host,water,TX,STATUS
1778594587.062263,193893.142774,serial,water,RX,"279707,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594590.045866,193896.126988,host,water,TX,STATUS
1778594590.061131,193896.142508,serial,water,RX,"282698,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594590.242962,193896.323950,serial,water,RX,"282893,LICK,0"
1778594591.564014,193897.645008,serial,water,RX,"284208,LICK,0"
1778594593.043432,193899.124741,host,water,TX,STATUS
1778594593.059412,193899.140478,serial,water,RX,"285689,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594595.801970,193901.882361,host,water,TX,WATER 400
1778594595.801970,193901.882954,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594595.823921,193901.905473,serial,water,RX,"288440,WATER,400"
1778594596.051792,193902.132799,host,water,TX,STATUS
1778594596.051792,193902.133168,serial,water,RX,"288681,STATUS,dose_ms=400,pump=1,mpr121=1,sync_ms=5000"
1778594596.218012,193902.298850,serial,water,RX,"288840,WATER_END,0"
1778594598.830369,193904.911538,host,protocol,TRIAL_TIMEOUT,5
1778594598.831402,193904.911873,host,protocol,TRIAL_END,MISSED
1778594598.831402,193904.912135,host,protocol,ITI,7.3s
1778594599.042711,193905.123179,host,water,TX,STATUS
1778594599.058362,193905.138778,serial,water,RX,"291673,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594602.050582,193908.131402,host,water,TX,STATUS
1778594602.050582,193908.131926,serial,water,RX,"294664,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594605.050199,193911.131271,host,water,TX,STATUS
1778594605.051209,193911.131767,serial,water,RX,"297655,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594606.091639,193912.172136,host,protocol,TRIAL_START,"cue=80ms,water=SKIP(no_lick_since_last)"
1778594607.041849,193913.122718,serial,water,RX,"299633,LICK,0"
1778594608.051249,193914.131841,host,water,TX,STATUS
1778594608.051249,193914.132311,serial,water,RX,"300647,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594609.016818,193915.097490,serial,water,RX,"301601,LICK,0"
1778594609.107586,193915.188247,host,protocol,TRIAL_END,REWARDED
1778594609.107586,193915.188857,host,protocol,ITI,7.8s
1778594610.534435,193916.614884,serial,water,RX,"303117,LICK,0"
1778594611.048282,193917.128719,host,water,TX,STATUS
1778594611.062920,193917.144196,serial,water,RX,"303638,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594614.048244,193920.128938,host,water,TX,STATUS
1778594614.063484,193920.144387,serial,water,RX,"306630,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594616.866533,193922.946946,host,water,TX,WATER 400
1778594616.866533,193922.947299,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594616.866533,193922.947591,serial,water,RX,"309432,WATER,400"
1778594617.048945,193923.129408,host,water,TX,STATUS
1778594617.063892,193923.145109,serial,water,RX,"309621,STATUS,dose_ms=400,pump=1,mpr121=1,sync_ms=5000"
1778594617.260103,193923.341162,serial,water,RX,"309832,WATER_END,0"
1778594619.838190,193925.918738,serial,water,RX,"312398,LICK,0"
1778594619.870625,193925.951444,host,protocol,TRIAL_END,REWARDED
1778594619.870625,193925.951755,host,protocol,ITI,5.7s
1778594620.051663,193926.132858,host,water,TX,STATUS
1778594620.052671,193926.133207,serial,water,RX,"312612,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594622.404030,193928.484659,serial,water,RX,"314958,LICK,0"
1778594623.053153,193929.133831,host,water,TX,STATUS
1778594623.053153,193929.134176,serial,water,RX,"315603,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594625.537701,193931.619156,host,water,TX,WATER 400
1778594625.539054,193931.619521,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594625.539054,193931.619812,serial,water,RX,"318080,WATER,400"
1778594625.947410,193932.028322,serial,water,RX,"318480,WATER_END,0"
1778594626.054113,193932.135234,host,water,TX,STATUS
1778594626.055116,193932.135657,serial,water,RX,"318595,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594626.792757,193932.873674,serial,water,RX,"319335,LICK,0"
1778594627.863905,193933.944431,serial,water,RX,"320404,LICK,0"
1778594628.547132,193934.627682,host,protocol,TRIAL_END,REWARDED
1778594628.547132,193934.628008,host,protocol,ITI,9.2s
1778594629.057196,193935.137769,host,water,TX,STATUS
1778594629.057196,193935.138255,serial,water,RX,"321587,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594632.057936,193938.139080,host,water,TX,STATUS
1778594632.058981,193938.139801,serial,water,RX,"324578,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594635.047381,193941.127986,host,water,TX,STATUS
1778594635.062222,193941.143567,serial,water,RX,"327569,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594637.766716,193943.847575,host,water,TX,WATER 400
1778594637.766716,193943.848011,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594637.767720,193943.848446,serial,water,RX,"330277,WATER,400"
1778594638.056865,193944.137301,host,water,TX,STATUS
1778594638.056865,193944.138009,serial,water,RX,"330560,STATUS,dose_ms=400,pump=1,mpr121=1,sync_ms=5000"
1778594638.177960,193944.259225,serial,water,RX,"330677,WATER_END,0"
1778594638.254003,193944.334989,serial,water,RX,"330760,LICK,0"
1778594640.786610,193946.867745,host,protocol,TRIAL_END,REWARDED
1778594640.787610,193946.868123,host,protocol,ITI,5.9s
1778594641.055526,193947.136822,host,water,TX,STATUS
1778594641.056540,193947.137361,serial,water,RX,"333551,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594641.523473,193947.604406,serial,water,RX,"334022,LICK,0"
1778594643.936238,193950.017165,serial,water,RX,"336417,LICK,0"
1778594644.057666,193950.138459,host,water,TX,STATUS
1778594644.057666,193950.139064,serial,water,RX,"336542,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594646.669712,193952.750802,host,water,TX,WATER 400
1778594646.669712,193952.751121,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594646.685360,193952.766613,serial,water,RX,"339159,WATER,400"
1778594647.047159,193953.128551,host,water,TX,STATUS
1778594647.063194,193953.143949,serial,water,RX,"339534,STATUS,dose_ms=400,pump=1,mpr121=1,sync_ms=5000"
1778594647.078916,193953.159677,serial,water,RX,"339559,WATER_END,0"
1778594647.094783,193953.175193,serial,water,RX,"339564,LICK,0"
1778594647.727993,193953.808879,serial,water,RX,"340202,LICK,0"
1778594649.689235,193955.769983,host,protocol,TRIAL_END,REWARDED
1778594649.689235,193955.770315,host,protocol,ITI,10.0s
1778594650.050654,193956.131217,host,water,TX,STATUS
1778594650.066395,193956.146813,serial,water,RX,"342525,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594650.969949,193957.050779,serial,water,RX,"343434,LICK,0"
1778594651.543399,193957.624136,serial,water,RX,"344011,LICK,0"
1778594651.861011,193957.941829,serial,water,RX,"344323,LICK,0"
1778594653.050954,193959.132226,host,water,TX,STATUS
1778594653.067160,193959.147606,serial,water,RX,"345517,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594656.053993,193962.135321,host,water,TX,STATUS
1778594656.055013,193962.135758,serial,water,RX,"348508,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594659.059300,193965.139710,host,water,TX,STATUS
1778594659.059300,193965.140107,serial,water,RX,"351499,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594659.405267,193965.486559,serial,water,RX,"351852,LICK,0"
1778594659.662559,193965.743569,host,water,TX,WATER 400
1778594659.662559,193965.743888,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594659.663580,193965.744153,serial,water,RX,"352104,WATER,400"
1778594659.768412,193965.849734,serial,water,RX,"352203,LICK,0"
1778594660.072253,193966.152843,serial,water,RX,"352503,WATER_END,0"
1778594660.102180,193966.183290,serial,water,RX,"352535,LICK,0"
1778594662.047343,193968.128366,host,water,TX,STATUS
1778594662.062877,193968.143919,serial,water,RX,"354491,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594662.669842,193968.750827,host,protocol,TRIAL_END,REWARDED
1778594662.669842,193968.751186,host,protocol,ITI,6.6s
1778594665.050802,193971.131913,host,water,TX,STATUS
1778594665.066558,193971.147448,serial,water,RX,"357483,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594665.743402,193971.824824,serial,water,RX,"358162,LICK,0"
1778594667.583368,193973.664037,serial,water,RX,"360004,LICK,0"
1778594668.052469,193974.133251,host,water,TX,STATUS
1778594668.067713,193974.148718,serial,water,RX,"360474,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594669.333664,193975.414157,host,water,TX,WATER 400
1778594669.333664,193975.414671,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594669.334663,193975.415143,serial,water,RX,"361742,WATER,400"
1778594669.696076,193975.777399,serial,water,RX,"362107,LICK,0"
1778594669.727033,193975.808183,serial,water,RX,"362142,WATER_END,0"
1778594671.054168,193977.134893,host,water,TX,STATUS
1778594671.069331,193977.150262,serial,water,RX,"363465,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594672.339641,193978.420983,host,protocol,TRIAL_END,REWARDED
1778594672.340652,193978.421437,host,protocol,ITI,5.9s
1778594673.361308,193979.442454,serial,water,RX,"365756,LICK,0"
1778594674.055636,193980.136040,host,water,TX,STATUS
1778594674.055636,193980.136414,serial,water,RX,"366456,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594677.058136,193983.139532,host,water,TX,STATUS
1778594677.059226,193983.139889,serial,water,RX,"369447,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594678.283655,193984.364217,host,water,TX,WATER 400
1778594678.283655,193984.364544,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594678.283655,193984.364816,serial,water,RX,"370674,WATER,400"
1778594678.691818,193984.772977,serial,water,RX,"371074,WATER_END,0"
1778594678.722951,193984.803972,serial,water,RX,"371102,LICK,0"
1778594680.052296,193986.132701,host,water,TX,STATUS
1778594680.066955,193986.148114,serial,water,RX,"372440,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594681.031191,193987.111868,serial,water,RX,"373406,LICK,0"
1778594681.302509,193987.383358,host,protocol,TRIAL_END,REWARDED
1778594681.302509,193987.383715,host,protocol,ITI,9.0s
1778594681.570465,193987.651328,serial,water,RX,"373918,LICK,0"
1778594682.219246,193988.300380,serial,water,RX,"374591,LICK,0"
1778594683.019980,193989.100890,serial,water,RX,"375389,LICK,0"
1778594683.050867,193989.131596,host,water,TX,STATUS
1778594683.066168,193989.146980,serial,water,RX,"375431,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594683.623097,193989.704539,serial,water,RX,"375996,LICK,0"
1778594686.050803,193992.131230,host,water,TX,STATUS
1778594686.066561,193992.146971,serial,water,RX,"378422,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594689.050105,193995.131289,host,water,TX,STATUS
1778594689.065769,193995.146680,serial,water,RX,"381413,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594690.272156,193996.352834,host,water,TX,WATER 400
1778594690.272156,193996.353196,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594690.272156,193996.353497,serial,water,RX,"382623,WATER,400"
1778594690.682753,193996.763178,serial,water,RX,"383023,WATER_END,0"
1778594692.055734,193998.136799,host,water,TX,STATUS
1778594692.056734,193998.137315,serial,water,RX,"384404,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594693.287540,193999.368841,host,protocol,TRIAL_TIMEOUT,14
1778594693.288544,193999.369174,host,protocol,TRIAL_END,MISSED
1778594693.288544,193999.369440,host,protocol,ITI,9.9s
1778594695.056508,194001.137274,host,water,TX,STATUS
1778594695.056508,194001.137621,serial,water,RX,"387396,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594698.056973,194004.137381,host,water,TX,STATUS
1778594698.056973,194004.138059,serial,water,RX,"390387,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594701.056611,194007.137600,host,water,TX,STATUS
1778594701.056611,194007.137957,serial,water,RX,"393378,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594703.218363,194009.299365,host,protocol,TRIAL_START,"cue=80ms,water=SKIP(no_lick_since_last)"
1778594704.052151,194010.132611,host,water,TX,STATUS
1778594704.068014,194010.148476,serial,water,RX,"396369,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594706.230370,194012.311445,host,protocol,TRIAL_TIMEOUT,15
1778594706.231374,194012.311795,host,protocol,TRIAL_END,MISSED
1778594706.231374,194012.312070,host,protocol,ITI,7.4s
1778594707.053371,194013.133878,host,water,TX,STATUS
1778594707.068727,194013.149281,serial,water,RX,"399362,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594708.289377,194014.370133,serial,water,RX,"400582,LICK,0"
1778594709.245623,194015.326098,serial,water,RX,"401531,LICK,0"
1778594710.059256,194016.140524,host,water,TX,STATUS
1778594710.060268,194016.140904,serial,water,RX,"402353,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594710.694741,194016.775167,serial,water,RX,"402987,LICK,0"
1778594713.061634,194019.142047,host,water,TX,STATUS
1778594713.061634,194019.142650,serial,water,RX,"405344,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594713.624887,194019.705671,host,water,TX,WATER 400
1778594713.624887,194019.706310,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594713.626258,194019.706639,serial,water,RX,"405901,WATER,400"
1778594714.018009,194020.099305,serial,water,RX,"406301,WATER_END,0"
1778594716.053502,194022.134381,host,water,TX,STATUS
1778594716.069026,194022.149946,serial,water,RX,"408336,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594716.642033,194022.723198,host,protocol,TRIAL_TIMEOUT,16
1778594716.643036,194022.723717,host,protocol,TRIAL_END,MISSED
1778594716.643036,194022.724017,host,protocol,ITI,9.2s
1778594719.058943,194025.139352,host,water,TX,STATUS
1778594719.058943,194025.139888,serial,water,RX,"411327,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594722.071222,194028.151874,host,water,TX,STATUS
1778594722.071222,194028.152420,serial,water,RX,"414331,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
