host_time_s,host_monotonic_s,source,device,event,value
1778594547.805860,193853.886537,host,protocol,ITI,8.8s
1778594548.047698,193854.128510,host,water,TX,STATUS
1778594548.048698,193854.129121,serial,water,RX,"240818,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594551.050306,193857.131444,host,water,TX,STATUS
1778594551.051316,193857.132026,serial,water,RX,"243809,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594554.043529,193860.124165,host,water,TX,STATUS
1778594554.058786,193860.139868,serial,water,RX,"246801,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594556.601637,193862.682560,host,water,TX,WATER 400
1778594556.601637,193862.682922,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594556.617570,193862.698539,serial,water,RX,"249356,WATER,400"
1778594557.011441,193863.092027,serial,water,RX,"249756,WATER_END,0"
1778594557.041561,193863.122471,host,water,TX,STATUS
1778594557.057205,193863.137917,serial,water,RX,"249792,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594559.631822,193865.712568,host,protocol,TRIAL_TIMEOUT,1
1778594559.631822,193865.712894,host,protocol,TRIAL_END,MISSED
1778594559.631822,193865.713153,host,protocol,ITI,5.8s
1778594560.041732,193866.122158,host,water,TX,STATUS
1778594560.057732,193866.138170,serial,water,RX,"252784,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594563.049610,193869.130012,host,water,TX,STATUS
1778594563.049610,193869.130386,serial,water,RX,"255776,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594565.427297,193871.507903,host,protocol,TRIAL_START,"cue=80ms,water=SKIP(no_lick_since_last)"
1778594566.046570,193872.127605,host,water,TX,STATUS
1778594566.062570,193872.143065,serial,water,RX,"258767,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594568.430601,193874.511789,host,protocol,TRIAL_TIMEOUT,2
1778594568.431612,193874.512103,host,protocol,TRIAL_END,MISSED
1778594568.431612,193874.512355,host,protocol,ITI,6.3s
1778594569.042726,193875.123880,host,water,TX,STATUS
1778594569.058294,193875.139292,serial,water,RX,"261758,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594570.357238,193876.437700,serial,water,RX,"263065,LICK,0"
1778594571.369274,193877.449946,serial,water,RX,"264064,LICK,0"
1778594572.048674,193878.129333,host,water,TX,STATUS
1778594572.048674,193878.129900,serial,water,RX,"264750,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594572.712757,193878.793715,serial,water,RX,"265414,LICK,0"
1778594574.771867,193880.852788,host,water,TX,WATER 400
1778594574.772883,193880.853293,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594574.772883,193880.853744,serial,water,RX,"267453,WATER,400"
1778594575.045436,193881.125846,host,water,TX,STATUS
1778594575.060436,193881.141413,serial,water,RX,"267741,STATUS,dose_ms=400,pump=1,mpr121=1,sync_ms=5000"
1778594575.166528,193881.247443,serial,water,RX,"267852,WATER_END,0"
1778594577.784466,193883.865375,host,protocol,TRIAL_TIMEOUT,3
1778594577.784466,193883.865809,host,protocol,TRIAL_END,MISSED
1778594577.784466,193883.866078,host,protocol,ITI,5.8s
1778594578.042859,193884.123323,host,water,TX,STATUS
1778594578.058674,193884.139092,serial,water,RX,"270732,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594581.046385,193887.126782,host,water,TX,STATUS
1778594581.061791,193887.142243,serial,water,RX,"273724,STATUS,dose_ms=400,pump=0,mpr121=1,sync_ms=5000"
1778594582.192399,193888.272914,serial,water,RX,"274856,LICK,0"
1778594582.667725,193888.748396,serial,water,RX,"275328,LICK,0"
1778594582.998996,193889.079942,serial,water,RX,"275659,LICK,0"
1778594583.591889,193889.673102,host,water,TX,WATER 400
1778594583.592957,193889.673627,host,protocol,TRIAL_START,"cue=80ms,water=400ms"
1778594583.592957,193889.674063,serial,water,RX,"276251,WATER,400"
